Frame,Latitude,Longitude
frame_169.jpg,19.077403,74.661649
frame_170.jpg,19.077377,74.661508
frame_171.jpg,19.077352,74.661359
frame_172.jpg,19.077334,74.661212
frame_173.jpg,19.077309,74.661075
frame_174.jpg,19.077296,74.660958
frame_175.jpg,19.077278,74.660837
frame_176.jpg,19.077257,74.660706
frame_177.jpg,19.077237,74.660584
frame_178.jpg,19.077206,74.660455
frame_179.jpg,19.077179,74.660330
frame_180.jpg,19.077154,74.660190
frame_181.jpg,19.077128,74.660048
frame_182.jpg,19.077099,74.659905
frame_183.jpg,19.077069,74.659764
frame_184.jpg,19.077036,74.659616
frame_185.jpg,19.076999,74.659465
frame_186.jpg,19.076971,74.659360
frame_187.jpg,19.076939,74.659209
frame_188.jpg,19.076909,74.659053
frame_189.jpg,19.076885,74.658921
frame_190.jpg,19.076867,74.658793
frame_191.jpg,19.076824,74.658616
frame_192.jpg,19.076800,74.658471
frame_193.jpg,19.076775,74.658339
frame_194.jpg,19.076744,74.658190
frame_195.jpg,19.076708,74.658038
frame_196.jpg,19.076664,74.657882
frame_197.jpg,19.076626,74.657733
frame_198.jpg,19.076595,74.657606
frame_199.jpg,19.076576,74.657528
frame_200.jpg,19.076528,74.657364
frame_201.jpg,19.076519,74.657326
frame_202.jpg,19.076467,74.657180
frame_203.jpg,19.076416,74.657064
frame_204.jpg,19.076392,74.656985
frame_205.jpg,19.076338,74.656880
frame_206.jpg,19.076271,74.656754
frame_207.jpg,19.076256,74.656729
